Data;ID AZ;Cow;Lattazione;GIM;Produz.;Grasso;Proteine;Urea;CN;BHB;SCC
01/10/2024;1220;IT015990490900;3;39;42;3,62;2,91;12,8;2,28;;7611
01/10/2024;861;IT015990436831;5;360;19;4,76;4,06;23,4;3,27;0,01;6663
01/10/2024;1235;IT015990490915;3;269;24,7;3,69;3,38;8,4;2,68;0,06;3272
01/10/2024;1350;IT015990520390;2;337;20;3,35;3,91;16,1;3,07;0,06;2969
01/10/2024;1244;IT015990490924;2;542;19;4,1;3,64;12,1;2,87;0,1;2951
01/10/2024;327;IT015990315453;6;380;25;3,61;3,26;9,8;2,49;0,09;2863
01/10/2024;1738;IT015990581498;2;67;31,1;4,55;2,94;19,9;2,33;0,06;2693
01/10/2024;1070;IT015990451060;3;594;18,4;5,7;4,65;20,6;3,74;0,14;2318
01/10/2024;1338;IT015990520378;3;49;37,4;6,04;3,09;22,5;2,46;0,09;2273
01/10/2024;1403;IT015990520443;2;249;28;4,28;3,78;15,1;3,03;0,05;2220
01/10/2024;1082;IT015990451072;4;263;22,5;4,83;3,44;16,1;2,76;0,11;2199
01/10/2024;859;IT015990436829;5;298;21,3;4,15;3,79;13;3,01;0,08;2169
01/10/2024;1674;IT015990553494;2;60;36,6;4,52;2,9;12,7;2,28;;2038
01/10/2024;1679;IT015990553499;2;46;41,1;3,83;3,03;12;2,38;0,03;2032
01/10/2024;1348;IT015990520388;3;226;24,8;5,23;3,58;10,1;2,87;0,16;1715
01/10/2024;889;IT015990436859;5;265;26,2;5,19;3,86;18,8;3,11;0,06;1456
01/10/2024;721;IT015990415651;5;388;25,1;3,27;3,27;7,5;2,6;0,03;1440
01/10/2024;1479;IT015990520519;2;213;24,8;3,37;3,6;16,7;2,83;;1341
01/10/2024;1166;IT015990490846;3;302;22,8;4,83;4,09;14,5;3,28;0,07;1208
01/10/2024;1173;IT015990490853;3;357;13,1;3,96;3,26;13,8;2,53;0,19;1115
01/10/2024;916;IT015990436886;4;44;22,6;4,41;2,52;13,4;1,93;0,16;1098
01/10/2024;1576;IT015990553396;2;266;24,8;2,88;3,63;15,6;2,9;0,04;1075
01/10/2024;978;IT015990436948;4;212;21,4;3,81;3,2;14;2,42;0,2;1015
01/10/2024;1106;IT015990451096;4;85;41,4;3,42;2,96;12,5;2,32;0,02;991
01/10/2024;1508;IT015990520548;2;196;32,3;3,02;3,67;9;2,86;0,03;885
01/10/2024;839;IT015990436809;5;283;23,2;3,99;3,59;15,7;2,84;0,07;870
